College	Cogen Electricity
SAYBROOK COLLEGE	-0.04838073796628153
TRUMBULL COLLEGE	-0.02886222055976069
EZRA STILES COLLEGE	-0.01029902088344019
MORSE COLLEGE	-0.01029902088344019
BRANFORD COLLEGE	-0.005578927074710845
DAVENPORT COLLEGE	-0.003152972838122185
JONATHAN EDWARDS COL	0.004538461618763128
SILLIMAN COLLEGE	0.006476518230608524
PIERSON COLLEGE	0.010565228401831267
TIMOTHY DWIGHT COLL.	0.027387948280511883
CALHOUN COLLEGE,JOHN	0.074675868461172
BERKELEY COLLEGE	0.2063954870871812
